complaint_id,date_received,district_occurrence,general_cap_classification,summary
16-0179,2016-04-13,2600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-4-16 at 9:40pm, their personal property was damaged and they did not receive proper service from a supervisor assigned to the 26th District."
16-0180,2016-04-13,1200,PHYSICAL ABUSE,"According to the complainant, on 2-22-16 at 11:50pm, they were verbally and physically abused by officers assigned to the 12th District."
16-0181,2016-04-13,1500,HARASSMENT,"According to the complainant, since 3-12-16, they have been harassed by an off-duty officer assigned to the 22nd district. This incident occurred in the confines of the 15th District."
16-0182,2016-04-14,2600,VERBAL ABUSE,"According to the complainant, on 3-23-16 at 2:50pm, they did not receive proper service from officers assigned to the 26th District."
16-0183,2016-04-14,2400,LACK OF SERVICE,"According to the complainant, on 3-21-16 at 11:39am, they did not receive proper service from an officer assigned to the Neighborhood Services Unit. This incident occurred in the confines of the 24th District."
16-0184,2016-04-19,2600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-5-16 at 6:40pm, proper police procedure were not followed by an officer assigned to the 26th District."
16-0185,2016-04-18,1500,HARASSMENT,"According to the complainant, on 4-6-16 at 10:30pm, their person and their vehicle were improperly searched by an officer assigned to the 15th District."
16-0186,2016-04-18,1200,VERBAL ABUSE,"According to the complainant, on 4-9-16 at 3:00pm, they were verbally abused by an officer assigned to the 12th District."
16-0187,2016-04-18,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-6-16 at 4:55am, they were treated unprofessionally and discriminated against by the officers assigned to the 15th District."
16-0188,2016-04-18,1500,HARASSMENT,"According to the complainant, on 4-9-16 at 10:10pm, they were falsely detained and harassed by an officer assigned to the 15th District."
16-0189,2016-04-18,0200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-11-16 at 3:00pm, they did not receive proper service from a corporal and an officer assigned to the 2nd District."
16-0190,2016-04-20,0900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 4-11-16 at 8:05pm, they were harassed and improperly issued a traffic citation by an officer assigned to the 9th District."
16-0191,2016-04-18,1500,VERBAL ABUSE,"According to the complainant, on 04-08-16 at 7:30am, they were treated unprofessionally and verbally abused by a detective assigned to Northeast Detective Division."
16-0192,2016-04-18,1700,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 04-14-16 at 1:30am, they were improperly detained by two officers assigned to the 17th District."
16-0193,2016-04-20,0800,LACK OF SERVICE,"According to the complainant, on 3-30-16 at 6:00am, they did not receive proper service from an officer assigned to the 8th District."
16-0194,2016-04-19,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-04-16 at 6:25pm, their person and their vehicle were improperly searched by officers assigned to the 9th District."
16-0195,2016-04-20,1900,PHYSICAL ABUSE,"According to the complainant, on 3-26-16 at 11:30pm, they were physically abused by an officers assigned to the 19th District."
16-0196,2016-04-20,0300,HARASSMENT,"According to the complainant, on 1-24-16 at 3:52pm, they were harassed by an officer assigned to the Traffic District. This incident occurred in the confines of the 3rd District."
16-0197,2016-04-20,0300,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-25-16 at 6:45pm, they were harassed by a sergeant assigned to Highway Patrol. This incident occurred in the confines of the 3rd district."
16-0198,2016-04-20,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 03-25-16 at 6:45pm, their vehicle was improperly searched and damaged by officers assigned to the 35th District."
16-0199,2016-04-20,1500,DOMESTIC,"According to the complainant, on 04-10-16 at 7:55am, departmental policies were violated by an officer assigned to the 15th District."
16-0200,2016-04-20,1500,LACK OF SERVICE,"According to the complainant, on 02-22-16 at 4:00pm, they did not receive proper service from a detective assigned to Northeast Detective Division. This incident occurred in the confines of the 15th District."
16-0201,2016-04-29,1800,NON-INVESTIGATORY INCIDENT,"According to the complainant, they were falsely arrested by officers assigned to the 18th District."
16-0202,2016-04-22,3500,HARASSMENT,"According to the complainant, they were threatened by an off-duty officer assigned to the 26th District. This incident occurred in the confines of the 35th District."
16-0203,2016-04-26,0300,VERBAL ABUSE,"According to the complainant, they were verbally abused by an 911 dispatcher assigned to the Radio Room."
16-0204,2016-04-22,0900,LACK OF SERVICE,"According to the complainant, on 2-22-16 at 9:30am, they did not receive proper service from officers assigned to the 9th District."
16-0205,2016-04-26,2600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-14-16 at 3:00pm, they were treated unprofessionally by officers assigned to the 26th District."
16-0206,2016-05-02,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-18-16 they were maced by officers assigned to the 14th District and the officers took money from them."
16-0207,2016-04-26,0300,PHYSICAL ABUSE,"According to the complainant, on 4-16-16 at 7:30am, they were verbally and physically abused by officers assigned to the 3rd District."
16-0208,2016-05-06,2200,VERBAL ABUSE,"According to the complainant, an officer assigned to the 22nd District conducted themselves unprofessionally."
16-0209,2016-04-26,1400,PHYSICAL ABUSE,"According to the complainant, on 4-12-16 at 6:00pm, they were falsely arrested and physically abused by officers assigned to the 14th District."
16-0210,2016-04-27,0900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 4-18-2016 at 8:40pm, they were verbally abused and treated unprofessionally by an officer assigned to the 9th District."
16-0211,2016-04-27,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-18-16 at 9:20pm, they were racially profiled by officers assigned to the 22nd District."
16-0212,2016-04-27,2400,LACK OF SERVICE,"According to the complainant, on 3-26-16 at 2:00am, a detective assigned to East Detective Division did not provide them with proper services."
16-0213,2016-04-28,1900,LACK OF SERVICE,"According to the complainant, on 3-19-16 at 5:45pm, they did not receive proper service from officers assigned to the 19th District."
16-0214,2016-04-28,0800,LACK OF SERVICE,"According to the complainant, on 4-22-16 at 12:30pm, they did not receive proper service from officers assigned to the 8th District."
16-0215,2016-04-27,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-26-16 at 6:13am, they were treated unprofessionally by officers assigned to the 16th District."
16-0216,2016-04-27,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-29-16 at 8:30pm, their vehicle was improperly searched by an officer assigned to the Highway Patrol. This incident occurred in the confines of the 15th District."
16-0217,2016-04-27,1600,LACK OF SERVICE,"According to the complainant, on 4-5-16 they did not receive proper service from a radio dispatcher assigned to the Radio Room."
16-0218,2016-05-03,3900,CRIMINAL ALLEGATION,"According to the complainant, on 2-15-16 they did not receive proper service from a detective assigned to Major Crimes Auto Squad."
16-0219,2016-05-06,1800,NON-INVESTIGATORY INCIDENT,"According to the complainant, a detective assigned to Southwest Detective Division falsely arrested a person."
16-0220,2016-05-03,2400,VERBAL ABUSE,"According to the complainant, on 4-25-16 at 3:35pm, they were verbally abused by an officer assigned to the 24th District."
16-0221,2016-05-03,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-14-16 at 6:30pm, their home was improperly entered by a sergeant and several members of the Criminal Intelligence Unit."
16-0222,2016-05-02,1400,VERBAL ABUSE,"According to the complainant, on 2-17-16 at 4:00pm, a 911 operator assigned to the Radio Room conducted their self unprofessionally while handling the 911 call."
16-0223,2016-05-05,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-29-16 at 8:00am, several members assigned to the Narcotics Field Unit damaged their property and conducted themselves unprofessionally during the execution of a search warrant."
16-0224,2016-05-05,3500,HARASSMENT,"According to the complainant, on 4-29-16 at 7:20am, they were harassed by officers assigned to the 35th District."
16-0225,2016-05-10,2200,LACK OF SERVICE,"According to the complainant, on 5-1-16, they did not receive proper service from sergeants, and officers assigned to the 22nd District."
16-0226,2016-05-06,2200,LACK OF SERVICE,"According to the complainant, on 4-25-16 at 4:00pm, they did not receive proper service from officers assigned to the 22nd District."
16-0227,2016-05-05,1400,VERBAL ABUSE,"According to the complainant, on 4-30-18 at 8:48pm, they were verbally abused by officers assigned to Highway Patrol."
16-0228,2016-05-09,1400,LACK OF SERVICE,"According to the complainant, on 5-2-16, they did not receive proper service from a sergeant assigned to the 14th District."
16-0229,2016-05-12,0300,PHYSICAL ABUSE,"According to the complainant, on 2-26-16 at 7:30pm, they were physically abused by an officer assigned to the 3rd District."
16-0230,2016-05-09,2600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-27-16 at 6:45am, their residence was improperly searched by officers assigned to the Narcotics Field Unit. This incident occurred in the confines of the 26th District."
16-0231,2016-05-09,3500,PHYSICAL ABUSE,"According to the complainant, on 4-28-16 at 9:00pm, they were verbally and physically abused by officers assigned to Highway Patrol. This incident occurred in the confines of the 35th District."
16-0232,2016-05-09,0700,LACK OF SERVICE,"According to the complainant, on 5-1-16 at 11:00pm, they did not receive proper service from an officer assigned to the 7th District."
16-0233,2016-05-09,2500,CRIMINAL ALLEGATION,"According to the complainant, on 5-3-16 at 7:30pm, after a search warrant was executed at their residence they found property missing. This incident occurred in the confines of the 25th District."
16-0234,2016-05-09,0200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-3-16 at 8:20pm, they were verbally abused by officers assigned to the 2nd District."
16-0235,2016-05-12,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-15-16 at 5:05pm, they were treated unprofessionally by officers assigned to the 8th District."
16-0236,2016-05-19,1900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 3-26-16, they were arrested by officers assigned to the 19th District. No additional information was provided."
16-0237,2016-05-13,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-6-16 at 9:30am, their residence was improperly entered and they were arrested by officers assigned to the 22nd District."
16-0238,2016-05-18,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-23-16, they were falsely detained and searched by officers and supervisors of the Counter Terror Operations Unit. This incident occurred in the confines of the 24th District."
16-0239,2016-05-18,N/A,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-9-16 a sergeant assigned to the Evidence Custodian Unit, abused their authority as a police officer."
16-0240,2016-05-11,0900,LACK OF SERVICE,"According to the complainant, on 4-30-16 at 9:20am, they did not receive proper service from an officer assigned to the 9th District."
